iter	Passed	Remaining
0	61	30757
1	63	15892
2	65	10930
3	67	8424
4	69	6921
5	71	5909
6	73	5191
7	75	4645
8	77	4225
9	79	3888
10	81	3614
11	83	3393
12	85	3192
13	87	3030
14	89	2885
15	91	2778
16	93	2666
17	96	2572
18	98	2481
19	100	2400
20	102	2328
21	104	2261
22	105	2197
23	107	2138
24	109	2089
25	112	2042
26	114	1997
27	115	1955
28	118	1917
29	120	1881
30	122	1846
31	124	1814
32	126	1784
33	128	1755
34	130	1728
35	131	1700
36	133	1674
37	135	1650
38	137	1628
39	139	1607
40	141	1586
41	143	1566
42	145	1548
43	147	1529
44	149	1511
45	151	1494
46	153	1478
47	155	1462
48	157	1447
49	159	1432
50	161	1418
51	163	1404
52	165	1392
53	166	1378
54	168	1367
55	170	1354
56	172	1344
57	174	1331
58	176	1320
59	178	1310
60	180	1300
61	182	1289
62	184	1279
63	186	1270
64	188	1260
65	190	1251
66	192	1242
67	194	1234
68	196	1225
69	198	1216
70	200	1208
71	201	1200
72	203	1192
73	205	1184
74	207	1177
75	209	1170
76	211	1163
77	213	1155
78	215	1148
79	217	1141
80	219	1134
81	221	1127
82	223	1121
83	225	1116
84	227	1109
85	229	1102
86	231	1096
87	232	1090
88	234	1084
89	236	1078
90	238	1072
91	240	1066
92	242	1061
93	244	1055
94	246	1050
95	248	1045
96	250	1040
97	252	1035
98	254	1029
99	256	1024
100	257	1019
101	259	1014
102	261	1009
103	264	1007
104	266	1003
105	268	998
106	270	993
107	272	988
108	274	983
109	276	979
110	278	975
111	280	970
112	282	965
113	283	961
114	285	956
115	287	952
116	289	948
117	291	944
118	293	939
119	295	935
120	297	931
121	299	927
122	301	923
123	303	919
124	305	915
125	307	911
126	309	907
127	311	903
128	313	900
129	314	896
130	316	892
131	318	888
132	320	885
133	322	881
134	324	878
135	326	874
136	328	871
137	330	867
138	332	864
139	334	860
140	336	857
141	338	853
142	340	850
143	342	846
144	344	843
145	346	839
146	348	836
147	350	832
148	352	829
149	354	826
150	355	822
151	357	819
152	359	816
153	361	813
154	363	809
155	365	806
156	367	803
157	369	800
158	371	797
159	373	794
160	375	791
161	377	788
162	379	784
163	381	781
164	383	778
165	385	774
166	387	771
167	389	768
168	390	765
169	392	762
170	394	759
171	396	756
172	398	753
173	401	751
174	403	748
175	404	745
176	406	742
177	408	739
178	410	736
179	412	733
180	414	730
181	416	727
182	418	725
183	420	722
184	422	719
185	424	716
186	426	714
187	428	711
188	430	708
189	432	705
190	434	702
191	436	699
192	438	697
193	440	694
194	442	691
195	444	688
196	446	686
197	447	683
198	450	680
199	451	677
200	453	675
